study,feature_set,balancing,model,threshold,recall,precision,f1,f2,auc_roc,auc_pr,net_savings_rel_rule_based,fit_seconds
anomaly_methods,enhanced_features,none,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.001123530999848299
anomaly_methods,enhanced_features,none,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.18083846399986214
anomaly_methods,enhanced_features,none,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0008741390001887339
balancing_methods,enhanced_features,none,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,1.1663590100001784
balancing_methods,enhanced_features,none,RandomForest,0.1,0.0,0.0,0.0,0.0,,,inf,0.31066350499986584
balancing_methods,enhanced_features,none,XGBoost,0.1,0.0,0.0,0.0,0.0,,,0.25,0.08680529499997647
balancing_methods,enhanced_features,none,MLP,0.1,0.0,0.0,0.0,0.0,,,inf,0.01505135400020663
balancing_methods,enhanced_features,none,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.025030445000084
balancing_methods,enhanced_features,none,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.020116879000397603
balancing_methods,enhanced_features,none,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.020869008999852667
balancing_methods,enhanced_features,none,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0015331599997807643
balancing_methods,enhanced_features,none,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.17777357700015273
balancing_methods,enhanced_features,none,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0010845589999917138
balancing_methods,enhanced_features,none,HybridXGBLSTM,0.5,0.0,0.0,0.0,0.0,,,inf,2.3279412739998406
balancing_methods,enhanced_features,random_oversampling,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,1.1384070449998944
balancing_methods,enhanced_features,random_oversampling,RandomForest,0.1,0.0,0.0,0.0,0.0,,,inf,0.3085277909999604
balancing_methods,enhanced_features,random_oversampling,XGBoost,0.1,0.0,0.0,0.0,0.0,,,inf,0.017115169999669888
balancing_methods,enhanced_features,random_oversampling,MLP,0.1,0.0,0.0,0.0,0.0,,,inf,0.014996144000178901
balancing_methods,enhanced_features,random_oversampling,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.025958871000057115
balancing_methods,enhanced_features,random_oversampling,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.02330596699994203
balancing_methods,enhanced_features,random_oversampling,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.02332681500001854
balancing_methods,enhanced_features,random_oversampling,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0008547029997316713
balancing_methods,enhanced_features,random_oversampling,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.17507309699976759
balancing_methods,enhanced_features,random_oversampling,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0008658789997753047
balancing_methods,enhanced_features,random_oversampling,HybridXGBLSTM,0.1,0.0,0.0,0.0,0.0,,,0.25,2.21370179700034
balancing_methods,enhanced_features,smote,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,0.9679809580002257
balancing_methods,enhanced_features,smote,RandomForest,0.1,0.0,0.0,0.0,0.0,,,inf,0.34561680900014835
balancing_methods,enhanced_features,smote,XGBoost,0.1,0.0,0.0,0.0,0.0,,,0.25,0.23149712100030229
balancing_methods,enhanced_features,smote,MLP,0.1,0.0,0.0,0.0,0.0,,,inf,0.014081180999710341
balancing_methods,enhanced_features,smote,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.02512337200005277
balancing_methods,enhanced_features,smote,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.020072331999926973
balancing_methods,enhanced_features,smote,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.02100005499960389
balancing_methods,enhanced_features,smote,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0009298999998463842
balancing_methods,enhanced_features,smote,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.17678579500034175
balancing_methods,enhanced_features,smote,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0007810349998180754
balancing_methods,enhanced_features,smote,HybridXGBLSTM,0.5,0.0,0.0,0.0,0.0,,,inf,2.6942952890003653
balancing_methods,enhanced_features,smoteenn,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,1.2812328939999134
balancing_methods,enhanced_features,smoteenn,RandomForest,0.1,0.0,0.0,0.0,0.0,,,inf,0.32602051499998197
balancing_methods,enhanced_features,smoteenn,XGBoost,0.1,0.0,0.0,0.0,0.0,,,0.25,0.036138788999778626
balancing_methods,enhanced_features,smoteenn,MLP,0.1,0.0,0.0,0.0,0.0,,,inf,0.013616636000278959
balancing_methods,enhanced_features,smoteenn,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.022709668999596033
balancing_methods,enhanced_features,smoteenn,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.0187714710000364
balancing_methods,enhanced_features,smoteenn,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.019246408000071824
balancing_methods,enhanced_features,smoteenn,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0008648359998915112
balancing_methods,enhanced_features,smoteenn,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.2545147769997129
balancing_methods,enhanced_features,smoteenn,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0007919579998088011
balancing_methods,enhanced_features,smoteenn,HybridXGBLSTM,0.5,0.0,0.0,0.0,0.0,,,inf,2.27105493199997
balancing_methods,enhanced_features,smotetomek,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,1.1827544359998683
balancing_methods,enhanced_features,smotetomek,RandomForest,0.1,0.0,0.0,0.0,0.0,,,inf,0.2984704400000737
balancing_methods,enhanced_features,smotetomek,XGBoost,0.1,0.0,0.0,0.0,0.0,,,0.25,0.018657034999705502
balancing_methods,enhanced_features,smotetomek,MLP,0.1,0.0,0.0,0.0,0.0,,,inf,0.014470349000021088
balancing_methods,enhanced_features,smotetomek,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.024255659000118612
balancing_methods,enhanced_features,smotetomek,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.021217149999756657
balancing_methods,enhanced_features,smotetomek,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.02104251899982046
balancing_methods,enhanced_features,smotetomek,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0008163950001289777
balancing_methods,enhanced_features,smotetomek,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.17983189599999605
balancing_methods,enhanced_features,smotetomek,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0008310879998134624
balancing_methods,enhanced_features,smotetomek,HybridXGBLSTM,0.5,0.0,0.0,0.0,0.0,,,inf,2.1983453050002026
balancing_methods,enhanced_features,adasyn,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,1.1490366449997964
balancing_methods,enhanced_features,adasyn,RandomForest,0.1,0.0,0.0,0.0,0.0,,,inf,0.2966142850000324
balancing_methods,enhanced_features,adasyn,XGBoost,0.1,0.0,0.0,0.0,0.0,,,0.25,0.07026279799993063
balancing_methods,enhanced_features,adasyn,MLP,0.1,0.0,0.0,0.0,0.0,,,inf,0.014469669999925827
balancing_methods,enhanced_features,adasyn,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.025097876000018005
balancing_methods,enhanced_features,adasyn,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.021086571000068943
balancing_methods,enhanced_features,adasyn,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.02166796300025453
balancing_methods,enhanced_features,adasyn,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0008955640000749554
balancing_methods,enhanced_features,adasyn,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.17995123199989393
balancing_methods,enhanced_features,adasyn,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0007751120001557865
balancing_methods,enhanced_features,adasyn,HybridXGBLSTM,0.5,0.0,0.0,0.0,0.0,,,inf,2.241543313999955
balancing_methods,enhanced_features,smotegan_proxy,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,1.3476541740001267
balancing_methods,enhanced_features,smotegan_proxy,RandomForest,0.1,0.0,0.0,0.0,0.0,,,inf,0.33291785799974605
balancing_methods,enhanced_features,smotegan_proxy,XGBoost,0.1,0.0,0.0,0.0,0.0,,,0.25,0.021838312999989284
balancing_methods,enhanced_features,smotegan_proxy,MLP,0.1,0.0,0.0,0.0,0.0,,,inf,0.016445366999960243
balancing_methods,enhanced_features,smotegan_proxy,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.03494765300001745
balancing_methods,enhanced_features,smotegan_proxy,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.021798954000132653
balancing_methods,enhanced_features,smotegan_proxy,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.029139168000256177
balancing_methods,enhanced_features,smotegan_proxy,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0008864389997143007
balancing_methods,enhanced_features,smotegan_proxy,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.21578051200003756
balancing_methods,enhanced_features,smotegan_proxy,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0008990139999696112
balancing_methods,enhanced_features,smotegan_proxy,HybridXGBLSTM,0.5,0.0,0.0,0.0,0.0,,,inf,2.306089818000146
balancing_methods,enhanced_features,random_undersampling,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,1.1586662780000552
balancing_methods,enhanced_features,random_undersampling,RandomForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.3121790640002473
balancing_methods,enhanced_features,random_undersampling,XGBoost,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0356555710000066
balancing_methods,enhanced_features,random_undersampling,MLP,0.1,0.0,0.0,0.0,0.0,,,0.25,0.014135242000065773
balancing_methods,enhanced_features,random_undersampling,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.02216485200005991
balancing_methods,enhanced_features,random_undersampling,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.019712276000063866
balancing_methods,enhanced_features,random_undersampling,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.02102818200000911
balancing_methods,enhanced_features,random_undersampling,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.001168366000001697
balancing_methods,enhanced_features,random_undersampling,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.17407435999984955
balancing_methods,enhanced_features,random_undersampling,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0007665650000490132
balancing_methods,enhanced_features,random_undersampling,HybridXGBLSTM,0.5,0.0,0.0,0.0,0.0,,,inf,2.3936560279998957
balancing_methods,enhanced_features,cost_sensitive,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,1.3555280159998802
balancing_methods,enhanced_features,cost_sensitive,RandomForest,0.1,0.0,0.0,0.0,0.0,,,inf,0.3666678099998535
balancing_methods,enhanced_features,cost_sensitive,XGBoost,0.1,0.0,0.0,0.0,0.0,,,0.25,0.02556383499995718
balancing_methods,enhanced_features,cost_sensitive,MLP,0.1,0.0,0.0,0.0,0.0,,,inf,0.0163444330000857
balancing_methods,enhanced_features,cost_sensitive,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.02617729399980817
balancing_methods,enhanced_features,cost_sensitive,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.026387874000192824
balancing_methods,enhanced_features,cost_sensitive,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.02289073300016753
balancing_methods,enhanced_features,cost_sensitive,AutoencoderProxy,0.1,0.0,0.0,0.0,0.0,,,0.25,0.000981997000053525
balancing_methods,enhanced_features,cost_sensitive,IsolationForest,0.1,0.0,0.0,0.0,0.0,,,0.25,0.22232481499986534
balancing_methods,enhanced_features,cost_sensitive,OneClassSVM,0.1,0.0,0.0,0.0,0.0,,,0.25,0.0012926260001222545
balancing_methods,enhanced_features,cost_sensitive,HybridXGBLSTM,0.5,0.0,0.0,0.0,0.0,,,inf,2.4700044460000754
benchmark_rule_based,enhanced_features,none,RuleBasedBenchmark,0.5,0.0,0.0,0.0,0.0,,,1.0,0.0
ensemble_comparison,enhanced_features,smote,StackingEnsemble,0.5,0.0,0.0,0.0,0.0,,,inf,2.4166371870001058
ensemble_comparison,enhanced_features,smote,HybridXGBLSTM,0.5,0.0,0.0,0.0,0.0,,,inf,2.5458131820000744
model_family_comparison,enhanced_features,smote,LogisticRegression,0.1,0.0,0.0,0.0,0.0,,,inf,1.1402424350003457
model_family_comparison,enhanced_features,smote,DecisionTree,0.1,0.0,0.0,0.0,0.0,,,inf,0.0007125400002223614
model_family_comparison,enhanced_features,smote,RandomForest,0.1,0.0,0.0,0.0,0.0,,,inf,0.28838336399985565
model_family_comparison,enhanced_features,smote,XGBoost,0.1,0.0,0.0,0.0,0.0,,,0.25,0.01995825199992396
model_family_comparison,enhanced_features,smote,MLP,0.1,0.0,0.0,0.0,0.0,,,inf,0.014239866000025359
model_family_comparison,enhanced_features,smote,LSTMProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.025102719999722467
model_family_comparison,enhanced_features,smote,CNNProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.01995971299993471
model_family_comparison,enhanced_features,smote,AttentionProxy,0.1,0.0,0.0,0.0,0.0,,,inf,0.022971526000219455
